,Drink,Drink ID,Category,Glass,Instructions,Ingredient1,Measure1,Ingredient2,Measure2,Ingredient3,Measure3,Ingredient4,Measure4,Ingredient5,Measure5,Ingredient6,Measure6,Ingredient7,Measure7,Ingredient8,Measure8,Ingredient9,Measure9,Ingredient10,Measure10,Ingredient11,Measure11,Ingredient12,Measure12,Ingredient13,Measure13,Ingredient14,Measure14,Ingredient15,Measure15
0,'57 Chevy with a White License Plate,14029,Cocktail,Highball glass,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,Creme de Cacao,1 oz white ,Vodka,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
1,1-900-FUK-MEUP,15395,Shot,Old-fashioned glass,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,Absolut Kurant,1/2 oz ,Grand Marnier,1/4 oz ,Chambord raspberry liqueur,1/4 oz ,Midori melon liqueur,1/4 oz ,Malibu rum,1/4 oz ,Amaretto,1/4 oz ,Cranberry juice,1/2 oz ,Pineapple juice,1/4 oz ,, ,, ,, ,, ,, ,,,,
2,110 in the shade,15423,Beer,Beer Glass,Drop shooter in glass. Fill with beer,Lager,16 oz ,Tequila,1.5 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
3,151 Florida Bushwacker,14588,Milk / Float / Shake,Beer mug,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,Malibu rum,1/2 oz ,Light rum,1/2 oz ,151 proof rum,1/2 oz Bacardi ,Dark Creme de Cacao,1 oz ,Cointreau,1 oz ,Milk,3 oz ,Coconut liqueur,1 oz ,Vanilla ice-cream,1 cup ,, ,, ,, ,, ,, ,,,,
4,155 Belmont,15346,Cocktail,White wine glass,Blend with ice. Serve in a wine glass. Garnish with carrot.,Dark rum,1 shot ,Light rum,2 shots ,Vodka,1 shot ,Orange juice,1 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,
5,24k nightmare,17060,Shot,Shot glass,"Add over ice,shake and pour.",Goldschlager,1/2 oz ,Jägermeister,1/2 oz ,Rumple Minze,1/2 oz ,151 proof rum,1/2 oz Bacardi ,, ,, ,, ,, ,, ,,,,,,,,,,,,
6,252,15288,Shot,Shot glass,"Add both ingredients to shot glass, shoot, and get drunk quick",151 proof rum,1/2 shot Bacardi ,Wild Turkey,1/2 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
7,3 Wise Men,13899,Shot,Collins glass,put them them in a glass... and slam it to tha head.,Jack Daniels,1/3 oz ,Johnnie Walker,1/3 oz ,Jim Beam,1/3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
8,3-Mile Long Island Iced Tea,15300,Ordinary Drink,Collins Glass,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,Gin,1/2 oz ,Light rum,1/2 oz ,Tequila,1/2 oz ,Triple sec,1/2 oz ,Vodka,1/2 oz ,Coca-Cola,"
",Sweet and sour,1-2 dash ,Bitters,1 wedge ,Lemon, ,, ,, ,, ,, ,,,,
9,410 Gone,13581,Ordinary Drink,Collins Glass,,Peach Vodka,2-3 oz,Coca-Cola,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,50/50,14598,Ordinary Drink,Collins Glass,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,Vanilla vodka,2 1/2 oz ,Grand Marnier,1 splash ,Orange juice,Fill with ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
11,501 Blue,17105,Ordinary Drink,Collins Glass,Mix equal amounts into a glass with ice.,Blue Curacao,"
",Blueberry schnapps,"
",Vodka,"
",Sour mix,"
",7-Up,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
12,69 Special,13940,Ordinary Drink,Collins Glass,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",Gin,2 oz dry ,7-Up,4 oz ,Lemon juice,0.75 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
13,747,14229,Shot,Shot glass,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!",Kahlua,1/3 part ,Bailey's irish cream,1/3 part ,Frangelico,1/3 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
14,9 1/2 Weeks,16108,Cocktail,Cocktail glass,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,Absolut Citron,2 oz ,Orange Curacao,1/2 oz ,Strawberry liqueur,1 splash ,Orange juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
15,A Day at the Beach,15200,Ordinary Drink,Highball glass,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",Coconut rum,1 oz ,Amaretto,1/2 oz ,Orange juice,4 oz ,Grenadine,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
16,A Furlong Too Late,11000,Ordinary Drink,Highball glass,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,Light rum,2 oz ,Ginger beer,4 oz ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
17,A Gilligan's Island,16943,Cocktail,Collins glass,"Shaken, not stirred!",Vodka,1 oz ,Peach schnapps,1 oz ,Orange juice,3 oz ,Cranberry juice,3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
18,A Night In Old Mandalay,11001,Ordinary Drink,Highball glass,"In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.",Light rum,1 oz ,Añejo rum,1 oz ,Orange juice,1 oz ,Lemon juice,1/2 oz ,Ginger ale,3 oz ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,
